PathwayName	PathwayID
Condensation of Prophase Chromosomes	REACT:R-HSA-2299718
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	KEGG:hsa_M00106
Conjugation of benzoate with glycine	REACT:R-HSA-177135
Conjugation of carboxylic acids	REACT:R-HSA-159424
Conjugation of phenylacetate with glutamine	REACT:R-HSA-177162
Conjugation of salicylate with glycine	REACT:R-HSA-177128
Constitutive Signaling by Aberrant PI3K in Cancer	REACT:R-HSA-2219530
Constitutive Signaling by AKT1 E17K in Cancer	REACT:R-HSA-5674400
Constitutive Signaling by EGFRvIII	REACT:R-HSA-5637810
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	REACT:R-HSA-1236382
Constitutive Signaling by NOTCH1 HD Domain Mutants	REACT:R-HSA-2691232
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	REACT:R-HSA-2894862
Constitutive Signaling by NOTCH1 PEST Domain Mutants	REACT:R-HSA-2644606
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	REACT:R-HSA-2660826
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	REACT:R-HSA-176407
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	REACT:R-HSA-6814122
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	REACT:R-HSA-389958
COPI-dependent Golgi-to-ER retrograde traffic	REACT:R-HSA-6811434
COPII (Coat Protein 2) Mediated Vesicle Transport	REACT:R-HSA-204005
COPII complex	KEGG:hsa_M00404
COPI-independent Golgi-to-ER retrograde traffic	REACT:R-HSA-6811436
COPI-mediated anterograde transport	REACT:R-HSA-6807878
Costimulation by the CD28 family	REACT:R-HSA-388841
COX reactions	REACT:R-HSA-140180
Creatine metabolism	REACT:R-HSA-71288
Creatine pathway	KEGG:hsa_M00047
Creation of C4 and C2 activators	REACT:R-HSA-166786
CREB phosphorylation	REACT:R-HSA-199920
CREB phosphorylation through the activation of Adenylate Cyclase	REACT:R-HSA-442720
